,belongto,created_at,name,review
364,Student Edge,"June 26, 2019",CJ Johnson,"Extremely well crafted and scripted ... Fun, propulsive, ingenious and quite loveable."
365,CNET,"June 26, 2019",Simon Miraudo,"It's a weird but maybe era-appropriate coincidence that the two best films of the year so far-Us and now Parasite-are searing black comedies about class, featuring two rival families whose differences in wealth are largely the result of chance."
366,HanCinema,"June 23, 2019",Jennifer Bisset,"Coming away from this film will leave you with empathy for those less privileged, and yet the film toys with the idea that even if you do fake your way to the top, you still may ultimately end up back in the basement."
367,The Jam Report,"June 21, 2019",William Schwartz,"Survivalism ain't pretty, but then that's why all the characters in Parasite rich and poor alike have to dress it up as something more noble."
368,FILMINK (Australia),"June 19, 2019",Doug Jamieson,"A masterful portrait of inequality and imbalance, 'Parasite' latches on and never once lets go."
369,France24,"June 17, 2019",Andrew Blackie,...the work of a director intoxicatingly in his element.
370,Book & Film Globe,"June 14, 2019",Lisa Nesselson,"This dark, dark comedy straddles several genres and is very satisfying."
371,HeyUGuys,"June 4, 2019",Stephen Garrett,The hilariously inventive story has so many unexpected moments of out-there mayhem that it's hard to keep count. And the ways in which Bong turns the screws on the clan of grifters is absolutely riveting.
372,Artforum,"June 4, 2019",Jo-Anne Titmarsh,A riveting and hilarious look at the serious subject of class inequality. Immensely fun and beautifully made.
373,Korea Herald,"June 3, 2019",Dennis Lim,Parasite puts a wickedly literal spin on the notion that there is always someone lower on the socioeconomic ladder.
374,Caimán Cuadernos de Cine,"May 30, 2019",Min-sik Yoon,"It may seem far-fetched and absurd, but when you think about it, it is freakishly grounded in reality. This makes it not only the director's story, but each viewer's story as well."
375,Caimán Cuadernos de Cine,"May 30, 2019",Juanma Ruiz,A film so full of provocative and stimulating ideas that each of its twists could be a new movie. [Full review in Spanish]
376,Caimán Cuadernos de Cine,"May 30, 2019",Carlos F. Heredero,"Only a creator as free and as original as Bong Joon-ho can succed in turning out an adventure so unorthodox and as stimulating, as unpredictable and as devastating as Parasite. [Full review in Spanish]"
377,Butaca Ancha,"May 30, 2019",Àngel Quintana,An excellent film about the 'others'. [Full review in Spanish]
378,One Room With A View,"May 28, 2019",Jorge (JJ) Negrete,A work with impeccable narrative rigor. [Full Review in Spanish]
379,The Skinny,"May 28, 2019",Tom Bond,"Parasite is a complex, thrilling and audacious social satire, and an instant contender for film of the year."
